site,years_data,mean_max_dhw,max_max_dhw,mean_temp_variability,mean_cumul_dhw,years_high_stress,years_extreme_stress,mean_annual_max_temp,mean_annual_range,stress_frequency,thermal_profile
Coral Bay,2,24.1522389705882,25.691125,1.4944353985958965,480.4236363357839,2,0,31.255964767156897,4.664064031862798,Consistently High,High Stress + High Variability
Salt River Deep,2,23.5879476102942,25.4333437500001,1.30791758449177,442.6880732230404,2,0,30.6251948529412,4.00272058823535,Consistently High,Moderate Mixed Profile
Lang Bank Red Hind FSA,2,23.27475459558825,25.53428125,1.3123334135740987,401.3884417892168,1,0,30.54469424019605,4.026694240196049,Intermittent High,Moderate Mixed Profile
Lang Bank EEMP,2,22.60141268382355,24.4111562500001,1.310808839736119,425.7919342989346,1,0,30.67758854166665,4.012349571078449,Intermittent High,Moderate Mixed Profile
South Capella,2,21.657478094362702,23.0204010416666,1.343507038554498,368.53308057597894,1,0,30.72277803308825,4.0524287683823506,Intermittent High,Moderate Mixed Profile
Cane Bay Deep,2,21.4681950061275,23.8875260416667,1.248370575528555,391.6281510916536,1,0,30.4674802389706,3.8432357536765007,Intermittent High,Moderate Mixed Profile
Seahorse Cottage Shoal,2,20.91091191789215,22.5131510416666,1.3468573059010078,351.7286586563514,1,0,30.7369309129902,4.07022212009805,Intermittent High,Moderate Mixed Profile
Fish Bay,2,20.54152113970595,21.5304687500001,1.415558557079414,360.2824662990206,0,0,31.11073774509805,4.260721507352951,Generally Low,Moderate Mixed Profile
Botany Bay,2,20.48910049019605,22.0253333333333,1.3288565616068424,290.391234681372,1,0,30.586420955882353,4.200924632352951,Intermittent High,Moderate Mixed Profile
Meri Shoal,2,20.4538786764706,20.9163749999999,1.304334539966825,314.11656280637266,0,0,30.5506816789216,3.9764353553921996,Generally Low,Moderate Mixed Profile
Magens Bay,2,20.44148774509805,22.4826666666667,1.3891462811275184,269.58212162990304,1,0,30.8446973039216,4.503925245098049,Intermittent High,Moderate Mixed Profile
Eagle Ray,2,20.419901041666698,21.8666770833333,1.352050301653207,340.50576746323486,1,0,30.7479451593137,4.1086400122549005,Intermittent High,Moderate Mixed Profile
Kings Corner,2,20.2677953431373,21.4310833333334,1.2983782295809174,333.3475407475486,0,0,30.7670450367647,4.061589154411751,Generally Low,Moderate Mixed Profile
Coculus Rock,2,20.22943939950975,21.8528645833332,1.4221493655439568,333.7871644914209,1,0,31.0874506740196,4.4023606004902,Intermittent High,Moderate Mixed Profile
Castle,2,20.16317432598045,21.6446354166668,1.350152403837889,326.3310888480397,0,0,30.911189031862747,4.179516237745098,Generally Low,Moderate Mixed Profile
Great Pond,2,20.15457506127455,23.1001354166666,1.4069211739052825,348.0365802696084,1,0,31.293526041666652,4.47716574754905,Intermittent High,Moderate Mixed Profile
Black Point,2,20.0736941802536,21.351953125,1.3906642692161841,328.7214276494562,0,0,30.8615691802536,4.2738269927536,Generally Low,Moderate Mixed Profile
Savana,2,20.0696197916666,21.4048645833333,1.2955908102074984,284.17081337810606,0,0,30.50815134803925,4.007846200980451,Generally Low,Moderate Mixed Profile
Sprat Hole,2,19.83020435049015,21.2626145833334,1.3103080500274351,315.90419270833365,0,0,30.87992524509805,4.15327450980395,Generally Low,Moderate Mixed Profile
Grammanik Tiger FSA,2,19.6476132046567,20.0569947916665,1.0391994929647588,253.67697748161663,0,0,30.17350857843135,3.5722401960784502,Generally Low,Moderate Mixed Profile
Jacks Bay,2,19.49932015931365,21.6920520833334,1.340732594228423,324.2598838848029,0,0,30.79844791666665,4.060190563725451,Generally Low,Moderate Mixed Profile
Cane Bay,2,19.1333869485293,20.5389687499998,1.3243290250629238,273.0047938112733,0,0,30.7462668504902,4.09794699754905,Generally Low,Moderate Mixed Profile
Brewers Bay,2,18.5726571078432,20.7417083333334,1.3744538502615093,288.0351889093144,0,0,30.8956660539216,4.358589830858101,Generally Low,Moderate Mixed Profile
Flat Cay,2,18.448857762513,20.2400104166666,1.3597828981237865,291.6252630530849,0,0,30.7296262254902,4.15351776960785,Generally Low,Moderate Mixed Profile
St James,2,18.34020373774505,20.3988854166667,1.3468720163263748,279.6207074142154,0,0,30.74574325980395,4.052827818627499,Generally Low,Moderate Mixed Profile
Buck Island STT,2,17.8279023080065,20.0954895833333,1.337943993631484,276.9939646446069,0,0,30.6842662377451,4.0269316789215495,Generally Low,Moderate Mixed Profile
Hind Bank East FSA,2,17.708860447303998,18.2382135416667,0.9959489340619723,235.6605193014716,0,0,30.067006127451,3.492642524509849,Generally Low,Low Stress + Low Variability
South Water,2,17.3595631127451,18.9618541666667,1.3332331888422635,251.82862990196065,0,0,30.64109466911765,3.975947610294151,Generally Low,Moderate Mixed Profile
College Shoal East,2,17.11856403186275,17.5813676470589,1.120782131520932,205.62512285539248,0,0,30.2161507352941,3.5814301470588497,Generally Low,Low Stress + Low Variability
Buck Island STX Deep,2,15.850111277359801,26.4101727941177,0.9076600481809353,299.38549852157445,1,0,30.3103245126539,2.872962380300951,Intermittent High,Low Stress + Low Variability
Mutton Snapper FSA,2,12.830895702030851,23.5598645833334,0.8779731636927932,254.49213896183664,1,0,30.19234821428575,2.6005945378151516,Intermittent High,Low Stress + Low Variability
Salt River West,2,8.8259822303921,14.3500129901959,1.2277192837743245,92.27448247548926,0,0,30.2078198529412,3.6286362745098,Generally Low,Moderate Mixed Profile
Ginsburg Fringe,2,2.31060477941175,4.6212095588235,0.555930627528531,27.727257352941006,0,0,28.70224295343135,2.2157204350490005,Generally Low,Low Stress + Low Variability
