site,baseline_2024_annual,outcome_2025_pbl,predictor_2023_annual,persistence_2024_pbl,dhw_2023,temp_sd_2023,temp_range_2023,dhw_2024,temp_sd_2024,temp_range_2024,response_magnitude,recovery_achieved,proportional_recovery,cumulative_dhw,max_annual_dhw,temp_instability,impact_2023_to_2024,bleaching_persistence,response_category
Black Point,61.34920634920635,9.166666666666666,49.27457264957265,1.25,18.7954352355072,1.549423166410273,4.6602633605072015,21.351953125,1.2319053720220952,3.8873906249999983,-52.182539682539684,52.182539682539684,0.8505821474773609,40.1473883605072,21.351953125,2.7813285384323683,-48.02457264957265,0.025368053598144015,High_Recovery
Botany Bay,53.61904761904762,21,30.277777777777786,2.5,18.9528676470588,1.4372170413064729,4.393044117647101,22.0253333333333,1.2204960819072124,4.008805147058801,-32.61904761904762,32.61904761904762,0.6083481349911191,40.9782009803921,22.0253333333333,2.6577131232136852,-27.777777777777786,0.08256880733944952,High_Recovery
Cane Bay,47.291666666666664,2.5,25.833333333333336,3,17.7278051470588,1.4501196611904563,4.3668382352942,20.5389687499998,1.1985383889353916,3.8290557598039,-44.791666666666664,44.791666666666664,0.947136563876652,38.2667738970586,20.5389687499998,2.6486580501258477,-22.833333333333336,0.11612903225806451,High_Recovery
Castle,28.333333333333336,0,45,0,18.6817132352941,1.489108238897095,4.650624999999998,21.6446354166668,1.2111965687786828,3.7084074754901977,-28.333333333333336,28.333333333333336,1,40.3263486519609,21.6446354166668,2.700304807675778,-45,0,High_Recovery
Coculus Rock,65.46296296296296,27.79545454545455,80.46469298245614,1.6666666666666667,18.6060142156863,1.581141616643458,4.8145110294118005,21.8528645833332,1.2631571144444556,3.9902101715685983,-37.667508417508415,37.667508417508415,0.5754018258968754,40.4588787990195,21.8528645833332,2.8442987310879135,-78.79802631578947,0.02071301840460701,High_Recovery
Coral Bay,27.5,6.166666666666667,40.833333333333336,0,22.6133529411764,1.6561318422582616,5.059926470588298,25.691125,1.3327389549335311,4.268201593137299,-21.333333333333332,21.333333333333332,0.7757575757575758,48.3044779411764,25.691125,2.988870797191793,-40.833333333333336,0,High_Recovery
Eagle Ray,33.33333333333333,0,33.33333333333333,16.666666666666664,18.9731250000001,1.4726989239821158,4.353566176470601,21.8666770833333,1.231401679324298,3.8637138480392,-33.33333333333333,33.33333333333333,1,40.839802083333396,21.8666770833333,2.7041006033064137,-16.666666666666664,0.5,High_Recovery
Fish Bay,31.666666666666664,0,40.416666666666664,15,19.5525735294118,1.592537010786918,4.721161764705901,21.5304687500001,1.2385801033719102,3.800281250000001,-31.666666666666664,31.666666666666664,1,41.0830422794119,21.5304687500001,2.831117114158828,-25.416666666666664,0.3711340206185567,High_Recovery
Great Pond,81.41666666666667,0,14.083333333333334,0,17.2090147058825,1.5546868339345872,4.7337647058824,23.1001354166666,1.2591555138759778,4.220566789215699,-81.41666666666667,81.41666666666667,1,40.3091501225491,23.1001354166666,2.813842347810565,-14.083333333333334,0,High_Recovery
Kings Corner,32.5,0,15,0,19.1045073529412,1.4481546443265845,4.3451102941176,21.4310833333334,1.1486018148352506,3.7780680147059016,-32.5,32.5,1,40.5355906862746,21.4310833333334,2.596756459161835,-15,0,High_Recovery
Magens Bay,60.63333333333333,8.208333333333334,35.766666666666666,0,18.4003088235294,1.5053253842947103,4.6620882352940995,22.4826666666667,1.2729671779603262,4.345762254901999,-52.425,52.425,0.8646234194612424,40.8829754901961,22.4826666666667,2.7782925622550367,-35.766666666666666,0,High_Recovery
Salt River West,47.5,0,38,0,14.3500129901959,1.4481930569522878,4.322655882352901,3.3019514705883,1.0072455105963614,2.934616666666699,-47.5,47.5,1,17.6519644607842,14.3500129901959,2.455438567548649,-38,0,High_Recovery
Savana,42.33149509803922,0,23.055555555555543,1,18.7343749999999,1.4002370595900866,4.3088382352942,21.4048645833333,1.1909445608249103,3.7068541666667016,-42.33149509803922,42.33149509803922,1,40.1392395833332,21.4048645833333,2.591181620414997,-22.055555555555543,0.043373493975903635,High_Recovery
Seahorse Cottage Shoal,40.35218253968253,2.5,55.09587251828631,0,19.3086727941177,1.4889972585289086,4.410996323529503,22.5131510416666,1.204717353273107,3.7294479166665977,-37.85218253968253,37.85218253968253,0.9380454824830977,41.8218238357843,22.5131510416666,2.6937146118020157,-55.09587251828631,0,High_Recovery
Sprat Hole,64.16666666666667,0,33.33333333333333,13.333333333333334,18.3977941176469,1.4473839590316795,4.4359632352941,21.2626145833334,1.1732321410231907,3.8705857843138,-64.16666666666667,64.16666666666667,1,39.6604087009803,21.2626145833334,2.6206161000548702,-19.999999999999993,0.4000000000000001,High_Recovery
